Unnamed: 0	description	M01	M03	M06	M09	M12	M19	M05	M07	M102	M107	M112	M120	M121	M125	M126	M133	M134	M141	M144	M148	M150	M151	M155	M156	M33	M34	M35	M38	M39	M44	M46	M47	M52	M55	M64	M72	M73	M77	M78	M79	M88	M93	M95	M99
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	45207.14858533516	50000.89417353044	51330.36782161224	45607.854161635165	38495.633657570106	45349.54691650061	681.1544681441386	693.5093576946839	5524.450994430018	13609.21684308825	7603.131821971472	33318.15719544615	19031.88266337275	28932.827139233927	18466.30748289681	17443.351619678408	14586.357533368391	16342.926143396018	9782.862387949395	7582.768420790995	13051.769092916918	22226.528459029807	25006.92375572347	35243.37045000904	11088.24010813836	8210.616192675	12389.722711121422	12718.345210628191	41411.13827909741	45778.46342359203	20521.58793520688	13481.112599093023	3291.171924471085	37485.94685593793	37021.83227604846	13304.063322491842	10745.993396329164	21120.731650235528	24756.5249759266	21805.952092029464	40470.29221583611	47735.28296518092	29746.138618838108	11483.724577663124
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	1176.258069977152	0.422740168582396	135.19961545590417	29.61715153369136	101.6605761501636	831.5753733094774	0.0	414.3562812774856	0.0	2.459621517254767	1708.8805783560306	0.0	0.1576685398636786	0.0	0.0	1367.5615479564008	29.701109289057325	0.0	0.0	0.0	0.0	0.0	0.0	5.707304248502447	0.0	182.3107999053921	0.0	0.0	253.7003243725825	0.0	435.8441054423424	1.7484570973036229	161.21611972352284	0.0	0.0	0.5638135425683605	0.0	309.23027818148086	5.375068863761937	2340.253788299619	108.35718080566892	376.0958852685421	26.67346912169429	273.31389216631703
AEROBACTINSYN-PWY	aerobactin biosynthesis	39.61844822887156	0.0	1.0531999999999998e-12	1.2830666666666669e-12	2.077333333333333e-13	1.3129066666666623e-11	0.0	394.6116387208128	0.0	0.0	1540.9750609595671	0.0	0.0	0.0	0.0	0.0013500428385325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.57601261432921	0.0	341.54561973601574	1.0	37.920932402687534	0.0	0.0	0.0003803456571245	0.0	202.64200668393704	0.0021702993695027	1627.8800000000003	0.0	0.4492435167977626	0.0	0.0261884487106094
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	1245.1011384023448	25659.832206264186	275.01543012972434	790.4292930857398	0.0	0.0	0.0	679.0129236654776	0.0	56.34197604369421	2960.701452003974	0.0	0.0	0.0	0.0	3634.0643959558943	0.0	978.8159718893312	0.0	0.0	0.0	0.0	0.0	177.2544344393161	0.0	47.706587093442565	0.0	0.0	1558.6368888650095	262.19666085732524	1467.1726682530818	18.224278214845143	472.2060929554473	0.0	0.3776009087271822	0.0	0.0	1129.7324721921009	41.01799242314483	5048.673532916634	322.0954218887696	5059.673288511395	836.8244594280928	1059.9495411475104
ANAEROFRUCAT-PWY	homolactic fermentation	53603.12738113073	52175.43578433612	55703.68026835251	43381.67149393401	30402.454531809813	47268.97464517179	522.3800994259956	782.5909863098617	4911.941111663486	13884.881342450964	6922.702876356329	34875.162614297624	19247.08587311692	33150.12672871929	15516.431679795029	18890.364702876515	17686.650787859846	13756.970759107278	5767.504194100553	6585.889821076565	11280.826535028387	29118.00453704152	27481.856589651183	32665.188035880477	11085.225419017712	5932.612378213536	14367.99237961132	12810.4053951659	43727.43384990115	44224.66366058676	19130.587477219407	13001.641895237555	3549.866569152784	38340.818411745146	31945.49784497476	9507.556381288803	11881.565435998218	19575.72296634836	25129.2592670205	19060.320975616247	33509.8455159096	46809.99375880734	32030.132991629336	12626.615792625978
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	72905.88085895732	66652.99194562425	80802.1816588576	70532.19633136151	55209.40978986064	63866.51324383118	926.5266388295964	761.0912839533896	8071.735872030926	19151.63838775453	9805.981541171845	47726.88589006563	26609.48700844196	47005.0623019013	27394.083069693133	25559.523573237984	22296.44923501898	21084.55640847367	12964.88561209954	11105.26722643711	17820.70228578097	32074.87458599989	34500.46356580552	46309.559442134574	15071.958323280927	10254.96968762532	17941.67307845742	18972.479078087672	56145.72144247456	64992.74770488124	26632.4358189969	18448.952974892287	5586.7225269835735	50740.9688775562	48659.12821058527	17145.458801742137	15791.143093209374	31268.205364027854	35302.9865888384	27126.387641751287	53987.65191097665	70430.67848882482	41122.40197304743	16203.144783611902
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	18523.189027092827	16256.67928679211	12614.990435520736	11689.638282960916	14970.18215248624	15867.876429666405	0.0	645.7767474886067	1614.9803415760707	2454.5089130665665	4683.142511015198	11962.018140224483	7903.303614285531	12229.002521453947	6598.299325360178	12278.892746997808	6501.34289213771	4873.473052800683	2855.473647434185	2648.9023848831084	4778.671779332604	10321.01665544286	4846.449273377852	10079.414292758784	4424.596016506777	3770.797186577889	5672.679393833148	5645.345213466889	14769.31344389533	16606.091030575517	7829.108135453069	5734.233275184267	1315.468157260039	11209.964939562406	15135.872829729527	4638.121198939391	4687.561618481112	4162.6994755094975	7523.536717696383	11421.370116049393	12176.93986376281	21341.28006648557	10572.620672702662	6457.453012113601
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	27.45097120038909	1.1749956461464042	8.499131958194583	23.922847083312384	0.0	0.0	0.0	690.6200000977118	0.0	4.131762435004875	2079.912799065566	0.0	0.0	0.0	0.0	1588.1272767018836	0.0	316.0559178104385	0.0	0.0	0.0	0.0	0.0	6.883420623888006	0.0	2.046389805816005	0.0	0.0	403.197312501258	0.0	630.3298904417733	2.469208456132676	240.59524577251076	0.0	0.0	0.0007991646003174	0.0	506.1311999535421	0.6241637149643616	3038.7227875760755	17.630974053603286	1924.629649613006	34.3240192448027	147.125893055172
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	7704.651932497723	11455.185548330815	7378.354512814127	3990.882708068365	8038.822253476902	12360.059132344906	0.0	0.0	1478.3859339301448	977.3383119095902	2680.1159697665303	7941.001670760814	3369.9673782169207	8362.177929494022	4739.96658187762	6963.325371726285	4064.806670606162	3950.098730441735	0.0	1822.375150181154	3310.848210570796	6438.878063203316	2853.92867908825	10478.480768890557	639.203616539152	1160.2965531045909	2276.7012689440185	2520.766437343741	9190.080271679	11799.452214739811	2779.473039571467	24.405179402426317	751.9708555488044	9001.541335738744	7439.585819512603	3896.639195707464	4342.30035775689	2763.974809354003	2216.3561295678182	5011.301038912867	4649.177253582606	11002.64832560216	6294.963914542932	1911.0266323348008
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	42626.24692593903	49726.80144733292	39454.45254082639	37431.10648669463	33452.60562434773	42872.8243077096	573.029197008857	604.5548941779955	5743.8226411806845	12502.580235111169	7745.267901288563	30817.771636970152	17293.99217487393	31335.651307283195	19704.67598655524	19562.443436727623	15406.851878458558	13638.36699046227	8974.727635129238	8867.738406497308	12564.803515906917	21634.718787242597	23080.751199014885	34117.240737127555	10615.299187143768	7693.756780883066	12127.75935530448	10291.382256673243	45291.3677219302	47353.17036266642	17749.195938103625	12225.567558978668	2924.5843910765057	33814.69731554299	37783.47999017244	12265.172316420518	11708.188406173394	20915.430209646325	25592.80594182201	21345.029526589013	35680.91033729403	50290.45282328701	32399.997607670637	13246.416448711883
